,precision,recall,f1-score,support
Down,0.8636158681859569,0.7407165294803053,0.79745886777248,400793.0
Flat,0.0,0.0,0.0,0.0
Up,0.4441704731442753,0.6391561350307098,0.52411577592083,129926.0
accuracy,0.7158533988796331,0.7158533988796331,0.7158533988796331,0.7158533988796331
macro avg,0.4359287804434107,0.459957554837005,0.44052488123110334,530719.0
weighted avg,0.7609309023260846,0.7158533988796331,0.7305413943978365,530719.0
