number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_offset,params_subsample,params_threshold,params_use_dynamic_threshold,state
200,0.571081304848183,2025-11-30 05:31:11.703451,2025-11-30 05:35:51.142985,0 days 00:04:39.439534,11.0,1266.0,0.2007817715563952,0.052095759788158086,41.0,0.000635096020588763,0.7770670466623774,0.02017065293594925,False,COMPLETE
202,0.5691822269590855,2025-11-30 05:40:35.804151,2025-11-30 05:45:17.810343,0 days 00:04:42.006192,11.0,1283.0,0.20089350442637088,0.036988105334434335,41.0,0.00066135775823079,0.7976037130254163,0.02001527748691119,False,COMPLETE
219,0.569008468886873,2025-11-30 07:02:52.846697,2025-11-30 07:07:55.005324,0 days 00:05:02.158627,11.0,1383.0,0.14531464184851361,0.042115412163969586,40.0,0.0008856959810303373,0.7608537155145966,0.020651681353643203,False,COMPLETE
201,0.5689112496502097,2025-11-30 05:35:56.988027,2025-11-30 05:40:35.786507,0 days 00:04:38.798480,11.0,1282.0,0.20097774566557577,0.03189728763414919,41.0,0.0006480161460809839,0.7777306651639525,0.019472023907501843,False,COMPLETE
164,0.5685713755125444,2025-11-30 02:53:10.662746,2025-11-30 02:56:20.251897,0 days 00:03:09.589151,10.0,1280.0,0.09630770023171063,0.07578237883837699,41.0,0.0005103544000562042,0.7480599631625233,0.020421753096618502,False,COMPLETE
161,0.5683171933743908,2025-11-30 02:44:34.936990,2025-11-30 02:47:19.145399,0 days 00:02:44.208409,10.0,1206.0,0.08921174835944193,0.09594590292748746,39.0,0.000547044161207831,0.7919954875333952,0.019891722442797983,False,COMPLETE
203,0.5678730837235721,2025-11-30 05:45:17.828356,2025-11-30 05:50:15.615460,0 days 00:04:57.787104,11.0,1357.0,0.18018034073772685,0.03766008106299795,41.0,0.0006623854880237505,0.7919728444110133,0.02088284769872809,False,COMPLETE
192,0.5677689617708884,2025-11-30 04:55:45.135820,2025-11-30 04:59:36.546328,0 days 00:03:51.410508,11.0,1197.0,0.10890909965504109,0.08538409751691912,40.0,0.0003492721073199198,0.7380193993766234,0.020812984010531888,False,COMPLETE
162,0.567652911367536,2025-11-30 02:47:19.164657,2025-11-30 02:50:08.196220,0 days 00:02:49.031563,10.0,1201.0,0.08421471271656572,0.09617376789837373,41.0,0.0005500193743296353,0.7703635704630435,0.018638097538035702,False,COMPLETE
199,0.5676342722420481,2025-11-30 05:26:35.526524,2025-11-30 05:31:11.685387,0 days 00:04:36.158863,11.0,1266.0,0.14288230831364881,0.04016881948541032,41.0,0.000500599982860097,0.7590543238673219,0.02083776600583286,False,COMPLETE
