iter	Passed	Remaining
399	40218	39514
400	40334	39429
401	40446	39340
402	40550	39241
403	40664	39154
404	40782	39070
405	40891	38977
406	40997	38882
407	41103	38786
408	41203	38685
409	41332	38610
410	41449	38524
411	41548	38422
412	41665	38336
413	41765	38234
414	41875	38142
415	41976	38041
416	42074	37937
417	42182	37843
418	42300	37757
419	42400	37655
420	42516	37567
421	42623	37472
422	42723	37370
423	42823	37268
424	42924	37167
425	43035	37075
426	43153	36988
427	43252	36886
428	43370	36798
429	43493	36717
430	43611	36629
431	43741	36552
432	43857	36463
433	43962	36364
434	44096	36291
435	44219	36206
436	44325	36109
437	44426	36007
438	44528	35906
439	44636	35810
440	44752	35720
441	44860	35624
442	44988	35544
443	45103	35452
444	45212	35356
445	45323	35263
446	45427	35163
447	45538	35068
448	45652	34976
449	45755	34875
450	45857	34774
451	45968	34679
452	46102	34602
453	46205	34501
454	46316	34406
455	46422	34307
456	46521	34203
457	46627	34105
458	46729	34003
459	46829	33900
460	46948	33811
461	47042	33703
462	47150	33606
463	47271	33517
464	47374	33417
465	47482	33319
466	47590	33221
467	47696	33122
468	47803	33024
469	47903	32920
470	48014	32825
471	48107	32717
472	48209	32615
473	48326	32523
474	48441	32430
475	48550	32333
476	48679	32248
477	48787	32151
478	48895	32052
479	49019	31964
480	49124	31864
481	49231	31765
482	49376	31691
483	49483	31591
484	49606	31502
485	49711	31402
486	49808	31296
487	49929	31205
488	50037	31107
489	50167	31021
490	50274	30922
491	50378	30821
492	50492	30725
493	50592	30621
494	50717	30532
495	50841	30443
496	50952	30346
497	51056	30244
498	51173	30150
499	51276	30048
500	51389	29951
501	51504	29855
502	51607	29753
503	51716	29655
504	51814	29549
505	51918	29447
506	52034	29352
507	52163	29265
508	52286	29173
509	52405	29079
510	52515	28981
511	52635	28887
512	52761	28797
513	52886	28706
514	52992	28605
515	53115	28513
516	53221	28412
517	53333	28314
518	53430	28207
519	53520	28098
520	53640	28004
521	53737	27898
522	53839	27794
523	53930	27685
524	54021	27576
525	54122	27472
526	54222	27368
527	54328	27267
528	54418	27157
529	54521	27055
530	54629	26954
531	54734	26853
532	54847	26754
533	54946	26650
534	55051	26548
535	55145	26441
536	55250	26338
537	55347	26233
538	55451	26131
539	55544	26023
540	55646	25920
541	55733	25810
542	55823	25701
543	55929	25600
544	56022	25492
545	56133	25393
546	56235	25290
547	56337	25187
548	56437	25083
549	56530	24975
550	56611	24863
551	56714	24761
552	56810	24655
553	56898	24546
554	57006	24445
555	57102	24340
556	57199	24235
557	57301	24132
558	57415	24034
559	57510	23928
560	57612	23825
561	57704	23718
562	57804	23614
563	57902	23510
564	58010	23409
565	58110	23305
566	58216	23204
567	58323	23103
568	58425	23000
569	58510	22890
570	58607	22786
571	58695	22677
572	58787	22571
573	58887	22467
574	58988	22364
575	59090	22261
576	59184	22155
577	59281	22051
578	59380	21947
579	59480	21843
580	59573	21737
581	59668	21632
582	59767	21528
583	59866	21424
584	59966	21321
585	60067	21218
586	60162	21113
587	60267	21011
588	60372	20910
589	60472	20806
590	60579	20705
591	60674	20600
592	60778	20498
593	60890	20399
594	60991	20296
595	61089	20192
596	61193	20090
597	61302	19989
598	61418	19891
599	61512	19786
600	61615	19684
601	61722	19583
602	61825	19480
603	61932	19379
604	62042	19279
605	62150	19178
606	62242	19072
607	62341	18969
608	62445	18866
609	62539	18761
610	62634	18657
611	62734	18553
612	62844	18453
613	62947	18351
614	63038	18245
615	63134	18140
616	63226	18035
617	63332	17933
618	63431	17830
619	63530	17726
620	63620	17621
621	63726	17519
622	63832	17418
623	63931	17314
624	64024	17209
625	64129	17108
626	64234	17006
627	64338	16904
628	64422	16797
629	64527	16695
630	64610	16587
631	64698	16481
632	64796	16378
633	64912	16279
634	65019	16178
635	65116	16074
636	65207	15969
637	65310	15866
638	65414	15764
639	65503	15659
640	65602	15556
641	65714	15456
642	65800	15349
643	65901	15247
644	65995	15143
645	66097	15040
646	66208	14940
647	66324	14841
