iter	MultiClass
135	1.047560418
136	1.047393074
137	1.047229734
138	1.047069927
139	1.04689481
140	1.046726878
141	1.046539749
142	1.046388539
143	1.046285966
144	1.046132636
145	1.046008158
146	1.045865309
147	1.045700439
148	1.045561829
149	1.045428637
150	1.045322767
151	1.045189339
152	1.045089121
153	1.044938146
154	1.044806367
155	1.044696139
156	1.044603458
157	1.044443534
158	1.044268653
159	1.044104135
160	1.043985546
161	1.043848232
162	1.043696669
163	1.043589267
164	1.04344477
165	1.043299801
166	1.043175441
167	1.043061563
168	1.042909175
169	1.042773274
170	1.042657276
171	1.04253268
172	1.042429754
173	1.042279368
174	1.042143585
175	1.042017459
176	1.041852824
177	1.041715745
178	1.041585026
179	1.041407672
180	1.041304157
181	1.041185921
182	1.041064741
183	1.040903756
184	1.040761614
185	1.040667049
186	1.040515721
187	1.040359918
188	1.040207648
189	1.040097067
190	1.039951509
191	1.039816315
192	1.039711386
193	1.039562532
194	1.039439585
195	1.039310044
196	1.039171788
197	1.039078518
198	1.038958515
199	1.038842046
200	1.038731582
201	1.038633602
202	1.038521254
203	1.038373224
204	1.038212475
205	1.038119205
206	1.038026759
207	1.037946208
208	1.037839749
209	1.037752603
210	1.03761364
211	1.037483863
212	1.037384234
213	1.037261288
214	1.037109253
215	1.036994903
216	1.036893979
217	1.036785635
218	1.036654798
219	1.03655199
220	1.036451418
221	1.036342604
222	1.036248156
223	1.036122736
224	1.036003676
225	1.035868011
226	1.035772975
227	1.035661098
228	1.035555345
229	1.035442409
230	1.035333241
231	1.035221364
232	1.035127623
233	1.035010447
234	1.034911642
235	1.034815428
236	1.034703905
237	1.034603216
238	1.034520898
239	1.034400778
240	1.034291845
241	1.034168075
242	1.03404395
243	1.033938197
244	1.033836213
245	1.033731402
246	1.033622941
247	1.033511888
248	1.033433104
249	1.03333477
250	1.033228311
251	1.033135865
252	1.033035294
253	1.032924948
254	1.032800942
255	1.032682235
256	1.032590614
257	1.032501466
258	1.032399952
259	1.032300676
260	1.032204462
261	1.032100712
262	1.031998138
263	1.031891679
264	1.031809479
265	1.031736818
266	1.031648965
267	1.031530729
268	1.031442995
269	1.031312276
270	1.031225365
271	1.031101359
272	1.031023045
273	1.030951091
274	1.030849931
275	1.03075195
276	1.030625353
277	1.030508412
278	1.030406192
279	1.030320106
280	1.030256866
281	1.030131211
282	1.030035586
283	1.0299495
284	1.029865416
285	1.029762372
286	1.029639307
287	1.029556165
288	1.029452885
289	1.029345602
290	1.02928036
291	1.029180613
292	1.029067441
293	1.028965103
294	1.028883728
295	1.028782685
296	1.028707669
297	1.028624998
298	1.028567764
299	1.028459892
300	1.028376985
301	1.028298436
302	1.028197158
303	1.028116489
304	1.028038058
305	1.027929008
306	1.027854227
307	1.027782861
308	1.027666039
309	1.027596322
310	1.027484563
311	1.027376926
312	1.027291782
313	1.027200396
314	1.02713115
315	1.027047655
316	1.02697311
317	1.026889143
318	1.026803293
319	1.026701426
320	1.026613574
321	1.026507114
322	1.026427034
323	1.026345894
324	1.026243909
325	1.02612744
326	1.026044887
327	1.025937603
328	1.025864589
329	1.02574388
330	1.025659796
331	1.025583366
332	1.02548044
333	1.025391645
334	1.025293193
335	1.025171189
336	1.025092758
337	1.025010793
338	1.024906336
339	1.024824607
340	1.02475383
341	1.024641247
342	1.024548919
343	1.024455885
344	1.024353429
345	1.024270287
346	1.024148872
347	1.024029694
348	1.023916286
349	1.023821485
350	1.023721032
351	1.023648489
352	1.023553688
353	1.023458298
354	1.023381516
355	1.023302849
356	1.023186379
357	1.023080509
358	1.023015267
359	1.022948023
360	1.022861819
361	1.022792927
362	1.022704956
363	1.022602383
364	1.022517475
365	1.022406069
366	1.022304673
367	1.022201747
368	1.022109066
369	1.022032401
370	1.021944548
371	1.021838913
372	1.02177426
373	1.021688998
374	1.021600557
375	1.02152083
376	1.021422261
377	1.021354428
378	1.021258332
379	1.021167535
380	1.021069791
381	1.020989946
382	1.020884311
383	1.020792219
384	1.020693532
385	1.020610154
386	1.020531958
387	1.020460475
388	1.020367558
389	1.020287361
390	1.020201628
391	1.020115777
392	1.020016148
393	1.019918992
394	1.01986588
395	1.019781678
396	1.019699831
397	1.019624815
398	1.019536845
399	1.019442986
400	1.019359844
401	1.019278469
402	1.0191978
403	1.019112067
404	1.019024096
405	1.018938363
406	1.018860168
407	1.018762423
408	1.018700832
409	1.018620516
410	1.01853761
411	1.018461651
412	1.018357665
413	1.01828783
414	1.018193029
415	1.018117424
416	1.018041937
417	1.017958088
418	1.017870236
419	1.017791451
420	1.017716082
421	1.01764766
422	1.01758654
423	1.017503045
424	1.017441807
425	1.0173463
426	1.017259271
427	1.017183078
428	1.017080975
429	1.016998658
430	1.016913867
431	1.016811883
432	1.016736749
433	1.016677042
434	1.016563399
435	1.016477195
436	1.016387811
437	1.016308202
438	1.016228593
439	1.016144744
440	1.016047
441	1.015951492
442	1.015859047
443	1.015796278
444	1.015694529
445	1.01559914
446	1.015516469
447	1.015415073
448	1.015325101
449	1.015244314
450	1.015165294
451	1.015093104
452	1.014980521
453	1.014908213
454	1.014832137
455	1.01476136
456	1.014694941
457	1.014628639
458	1.014554918
459	1.014491207
460	1.014400882
461	1.014328338
462	1.014252969
463	1.014146156
464	1.014082681
465	1.014007547
466	1.01394572
467	1.013873413
468	1.013784971
469	1.013707364
470	1.013621749
471	1.013551208
472	1.013464651
473	1.013367495
474	1.013281173
475	1.013220524
476	1.013125134
477	1.013054004
478	1.012956731
479	1.012853804
480	1.012750406
481	1.012667382
482	1.012572581
483	1.012498507
484	1.012401587
485	1.012331281
486	1.012262742
487	1.012181131
488	1.012116596
489	1.012025799
490	1.0119383
491	1.011861517
492	1.011752702
493	1.011679217
494	1.011594191
495	1.011493737
496	1.011406709
497	1.011332281
498	1.01125067
499	1.011191199
500	1.011096045
501	1.011001951
502	1.010920929
503	1.010847561
504	1.010778669
505	1.010708716
506	1.010608616
507	1.010539606
508	1.010450105
509	1.010390515
510	1.01030808
511	1.01024119
512	1.010158401
513	1.010079969
514	1.010006366
515	1.009932999
516	1.009861751
517	1.009786028
518	1.009703122
519	1.009641531
520	1.009550852
521	1.009471831
522	1.009398111
523	1.009345705
524	1.009279286
525	1.009220403
526	1.009140794
527	1.009047642
528	1.008991468
529	1.008930937
530	1.00883013
531	1.008741925
532	1.00864206
533	1.008569281
534	1.008482842
535	1.008415127
536	1.008312318
537	1.008233533
538	1.00815522
539	1.008099753
540	1.008014609
541	1.007959141
542	1.007907325
543	1.007815233
544	1.007743278
545	1.007647418
546	1.007563333
547	1.007480191
548	1.007398227
549	1.007324742
550	1.007268568
551	1.007173767
552	1.007091332
553	1.007028327
554	1.006953429
555	1.006894075
556	1.006807165
557	1.006737684
558	1.006644649
559	1.006569633
560	1.006477305
561	1.006414066
562	1.006335634
563	1.006252963
564	1.006147093
565	1.006079024
566	1.005999533
567	1.005925459
568	1.005859393
569	1.005814053
570	1.00572938
571	1.005676857
572	1.005618799
573	1.005552851
574	1.005479248
575	1.005392337
576	1.005335928
577	1.005278576
578	1.005214866
579	1.005128779
580	1.005073783
581	1.00499335
582	1.004929639
583	1.00484791
584	1.004785377
585	1.004709772
586	1.004658309
587	1.004597424
588	1.004508865
589	1.004443152
590	1.004369667
591	1.004303954
592	1.004232
593	1.004127189
594	1.004045813
595	1.00397539
596	1.003912857
597	1.003813228
598	1.003717132
599	1.003648946
600	1.003550023
601	1.003456636
602	1.003375024
603	1.003309194
604	1.003221812
605	1.003134195
606	1.003083439
607	1.003011366
608	1.002944358
609	1.00285521
610	1.002759938
611	1.002700467
612	1.002615441
613	1.002524409
614	1.002465173
615	1.002394278
616	1.002324679
617	1.002266268
618	1.002180299
619	1.002108227
620	1.002030974
621	1.001960197
622	1.001877997
623	1.001797681
624	1.00173032
625	1.001658836
626	1.001587706
627	1.001522582
628	1.00146476
629	1.001394808
630	1.001344404
631	1.001283166
632	1.001215923
633	1.001135371
634	1.001054585
635	1.000965672
636	1.000899135
637	1.000802215
638	1.000718955
639	1.000669965
640	1.000575282
641	1.000483307
642	1.000414768
643	1.000338927
644	1.000274863
645	1.000215628
646	1.000135312
647	1.000058294
648	0.9999982335
649	0.9999140316
650	0.9998182887
651	0.9997471587
652	0.9996966376
653	0.9996044277
654	0.9995257607
655	0.9994662894
656	0.9993961016
657	0.9993389856
658	0.9992890533
659	0.9992162745
660	0.9991539769
661	0.9990750744
662	0.9990038267
663	0.9989500081
664	0.9988833532
665	0.9988171693
666	0.998742153
667	0.9986759692
668	0.9986101386
669	0.9985352401
670	0.9984648167
671	0.9983913314
672	0.9983077183
673	0.9982324665
674	0.9981461448
675	0.998079961
676	0.9979818628
677	0.9979113216
678	0.9978304171
679	0.9977754209
680	0.9976919256
681	0.9976378715
682	0.9975801667
683	0.9975066814
684	0.9974221262
685	0.9973418105
686	0.9972682075
687	0.9972027302
688	0.9971353686
689	0.9970709512
690	0.9969891046
691	0.9969120864
692	0.9968231739
693	0.9967339081
694	0.9966674887
695	0.9966053088
696	0.9965048553
697	0.9964456196
698	0.9963739008
699	0.9963022997
700	0.9962400021
701	0.9961576844
702	0.9961109317
703	0.9960505183
704	0.9960129513
705	0.9959586617
706	0.9958682182
707	0.9957949685
708	0.9957226608
709	0.9956696666
710	0.995619381
711	0.995546249
712	0.9954606339
713	0.9953867953
714	0.9953121324
715	0.9952605513
716	0.9952015511
717	0.9951421976
718	0.995084375
719	0.995027259
720	0.9949463546
721	0.9948791108
722	0.994807863
723	0.9947313158
724	0.994671138
725	0.9946292137
726	0.9945761017
727	0.9944907221
728	0.9944360792
729	0.994379081
730	0.9943114839
731	0.9942504817
732	0.9941765254
733	0.9941089283
734	0.9940413312
735	0.9939756184
736	0.99391073
737	0.9938622108
738	0.9938012086
739	0.9937008729
740	0.9936329225
741	0.9935673275
742	0.993492429
743	0.9934151752
744	0.9933398057
745	0.993257488
746	0.993180352
747	0.9931260624
748	0.9930804874
749	0.9929878064
750	0.9929079618
751	0.9928408358
752	0.992756045
753	0.992668899
754	0.9926082501
755	0.9925374734
756	0.9924662256
757	0.9923724847
758	0.9923088917
759	0.992230107
760	0.992166985
761	0.9921071604
762	0.9920413298
763	0.9919551259
764	0.9918836426
765	0.9917906083
766	0.9917185362
767	0.9916196137
768	0.9915477771
769	0.9914593357
770	0.9913869102
771	0.9913167224
772	0.9912375843
773	0.9911586819
774	0.9910926157
775	0.9910243121
776	0.9909378727
777	0.9908914733
778	0.9908413054
779	0.9907761814
780	0.9907203609
781	0.9906422827
782	0.9905939991
783	0.9905013181
784	0.9904139366
785	0.9903468106
786	0.9902867505
787	0.9902252772
788	0.9901672191
789	0.9901037438
790	0.9900405041
791	0.9899356933
792	0.9898547888
